Año;Localidad;Respuesta;Porcentaje
2017;Usaquén;Sí;4,1
2017;Chapinero;Sí;1,6
2017;Santa Fe;Sí;10,5
2017;San Cristóbal;Sí;12,7
2017;Usme;Sí;9,3
2017;Tunjuelito;Sí;12,4
2017;Bosa;Sí;12,0
2017;Kennedy;Sí;5,3
2017;Fontibón;Sí;7,0
2017;Engativá;Sí;5,1
2017;Suba;Sí;5,5
2017;Barrios Unidos;Sí;4,7
2017;Teusaquillo;Sí;1,6
2017;Los Mártires;Sí;5,8
2017;Antonio Nariño;Sí;7,6
2017;Puente Aranda;Sí;6,4
2017;La Candelaria;Sí;9,5
2017;Rafael Uribe Uribe;Sí;16,4
2017;Ciudad Bolívar;Sí;12,8
2017;Sumapaz;Sí;28,3
2017;Bogotá D.C.;Sí;7,6
2017;Usaquén;No;95,9
2017;Chapinero;No;98,4
2017;Santa Fe;No;89,5
2017;San Cristóbal;No;87,3
2017;Usme;No;90,7
2017;Tunjuelito;No;87,6
2017;Bosa;No;88,0
2017;Kennedy;No;94,7
2017;Fontibón;No;93,0
2017;Engativá;No;94,9
2017;Suba;No;94,5
2017;Barrios Unidos;No;95,3
2017;Teusaquillo;No;98,4
2017;Los Mártires;No;94,2
2017;Antonio Nariño;No;92,4
2017;Puente Aranda;No;93,6
2017;La Candelaria;No;90,5
2017;Rafael Uribe Uribe;No;83,6
2017;Ciudad Bolívar;No;87,2
2017;Sumapaz;No;71,7
2017;Bogotá D.C.;No;92,4
2021;Usaquén;Sí;5,8
2021;Chapinero;Sí;5,3
2021;Santa Fe;Sí;23,4
2021;San Cristóbal;Sí;29,6
2021;Usme;Sí;32,1
2021;Tunjuelito;Sí;32,6
2021;Bosa;Sí;33,8
2021;Kennedy;Sí;21,6
2021;Fontibón;Sí;11,8
2021;Engativá;Sí;13,9
2021;Suba;Sí;14,3
2021;Barrios Unidos;Sí;12,9
2021;Teusaquillo;Sí;3,4
2021;Los Mártires;Sí;22,9
2021;Antonio Nariño;Sí;23,8
2021;Puente Aranda;Sí;9,9
2021;La Candelaria;Sí;20,0
2021;Rafael Uribe Uribe;Sí;33,5
2021;Ciudad Bolívar;Sí;28,9
2021;Sumapaz;Sí;15,9
2021;Bogotá D.C.;Sí;19,7
2021;Usaquén;No;94,2
2021;Chapinero;No;94,7
2021;Santa Fe;No;76,6
2021;San Cristóbal;No;70,4
2021;Usme;No;67,9
2021;Tunjuelito;No;67,4
2021;Bosa;No;66,2
2021;Kennedy;No;78,4
2021;Fontibón;No;88,2
2021;Engativá;No;86,1
2021;Suba;No;85,7
2021;Barrios Unidos;No;87,1
2021;Teusaquillo;No;96,6
2021;Los Mártires;No;77,1
2021;Antonio Nariño;No;76,2
2021;Puente Aranda;No;90,1
2021;La Candelaria;No;80,0
2021;Rafael Uribe Uribe;No;66,5
2021;Ciudad Bolívar;No;71,1
2021;Sumapaz;No;84,1
2021;Bogotá D.C.;No;80,4
